user,tweet
AccionNacional,"Para que mejore la calidad de vida de la gente de San Dimas, @diputadospan lucharán para que regrese el Fondo Minero y junto con el próximo gobernador de Durango @EVillegasV, impulsaremos la industria minera y forestal con un sentido social y sustentable.
https://t.co/oYjjBP9kgO"
AccionNacional,"El ejército azul está listo para defender a México.

Este 5 de junio, #VotaPAN. https://t.co/gxkZQPPee0"
AccionNacional,"Para que Quintana Roo siga creciendo, tu familia cuente con atención médica de calidad, tratamientos y medicinas, y para #MejorarEnSerio la vida de las y los quintanarroenses, el próximo 5 de junio #VotaPAN por @LauFdzOficial. https://t.co/1EX6XyidPv"
AccionNacional,"Este 5 de junio, ¡Aguascalientes tendrá a su primera gobernadora!

Hoy marchamos por la Unidad y la Paz en el estado, porque las familias se merecen un gobierno que dé resultados y continúe con los avances. 

Con @TereJimenezE, ¡vamos a lograrlo!

#LoQueTantoQueremos https://t.co/h5s2yjlhtm"
AccionNacional,"Por un Tamaulipas con más apoyos al campo, más seguridad, oportunidades y un mayor desarrollo, ¡vamos con todo con @TrucoVerastegui!

Este 5 de junio, juntos #DefendamosTamaulipas.
#VotaPAN https://t.co/xAmzqBuGD9"
AccionNacional,"Exigimos al Gobierno federal que saque las manos del proceso electoral. YA basta del uso y abuso de los programas sociales con fines electorales, así como las amenazas y amedrentamiento de candidatas y candidatos por parte de sus funcionarios.
https://t.co/H9AfFeT6S7"
AccionNacional,"¡#HagamosMás por Lerdo!

Con @HomeroMartinezC como presidente municipal, seguirán los buenos gobiernos y los resultados para las familias.

¡Vamos con todo a ganar!
El próximo 5 de junio, #VotaPAN. https://t.co/SuliyAJI81"
AccionNacional,"Gómez Palacio necesita un gobierno que cumpla y cambie el rumbo del municipio. Para lograrlo, ¡vamos con @LetyHerreraAle y vamos con todo a ganar!

#VaPorDurango
#DefendamosDurango https://t.co/pjDWQg9m0s"
AccionNacional,"Con @EVillegasV, las familias tendrán un mayor desarrollo integral.

Nada ni nadie nos va a detener, juntos vamos a ganar y defenderemos Durango.

#VotaPAN https://t.co/fFlxITd391"
AccionNacional,"Las mujeres son el motor de todas las familias de Durango. Como presidente municipal, @josejoseantonio implementará el programa ""Con ellas"" para fortalecerlas y garantizar mejores condiciones para su desarrollo y crecimiento. Con pasos firmes, ¡defendamos Durango! https://t.co/xG0EoHg6NZ"
